Time,M1SupplyVoltage,M1Current,M1Speed,M2SupplyVoltage,M2Current,M2Speed
2.780000,3.797143,0.025495,-0.000000,3.797143,0.007033,0.000000,
2.790000,3.482857,0.025495,-0.000000,3.482857,0.007912,0.000000,
2.800000,4.087253,0.026374,-0.000000,4.087253,0.005275,0.000000,
2.810000,3.647253,0.026374,-0.000000,3.647253,0.006154,0.000000,
2.820000,3.598901,0.025495,-0.000000,3.598901,0.007033,0.000000,
2.830000,4.014725,0.026374,-0.000000,4.014725,0.007033,0.000000,
2.840000,3.502198,0.025495,-0.000000,3.502198,0.007033,0.000000,
2.850000,3.937363,0.026374,-0.000000,3.937363,0.006154,0.000000,
2.860000,3.777802,0.026374,-0.000000,3.777802,0.005275,0.000000,
2.870000,3.492527,0.025495,-0.000000,3.492527,0.007033,0.000000,
2.880000,4.072747,0.025495,-0.000000,4.072747,0.006154,0.000000,
2.890000,3.623077,0.025495,-0.000000,3.623077,0.007033,0.000000,
2.900000,3.574725,0.025495,-0.000000,3.574725,0.006154,0.000000,
2.910000,4.000220,0.026374,-0.000000,4.000220,0.007033,0.000000,
2.920000,3.507033,0.026374,-0.000000,3.507033,0.006154,0.000000,
2.930000,3.918022,0.025495,-0.000000,3.918022,0.006154,0.000000,
2.940000,3.777802,0.025495,-0.000000,3.777802,0.007033,0.000000,
2.950000,3.487692,0.027253,-0.000000,3.487692,0.006154,0.000000,
2.960000,4.063077,0.025495,-0.000000,4.063077,0.007033,0.000000,
2.970000,3.632747,0.025495,-0.000000,3.632747,0.007912,0.000000,
2.980000,3.608571,0.026374,-0.000000,3.608571,0.005275,0.000000,
2.990000,4.005055,0.026374,-0.000000,4.005055,0.005275,0.000000,
3.000000,3.507033,0.026374,-0.000000,3.507033,0.007033,0.000000,
3.010000,3.932528,0.026374,-0.000000,3.932528,0.007033,0.000000,
3.020000,3.768132,0.025495,-0.000000,3.768132,0.006154,0.000000,
3.030000,2.728572,0.026374,-0.000000,2.728572,0.006154,0.000000,
3.040000,4.092088,0.025495,-0.000000,4.092088,0.007033,0.000000,
3.050000,3.613406,0.025495,-0.000000,3.613406,0.006154,0.000000,
3.060000,3.632747,0.025495,-0.000000,3.632747,0.007912,0.000000,
3.070000,3.932528,0.025495,-0.000000,3.932528,0.007033,0.000000,
3.080000,3.497362,0.025495,-0.000000,3.497362,0.006154,0.000000,
3.090000,3.971209,0.025495,-0.000000,3.971209,0.007033,0.000000,
3.100000,3.743956,0.026374,-0.000000,3.743956,0.008791,0.000000,
3.110000,3.492527,0.025495,-0.000000,3.492527,0.007912,0.000000,
3.120000,4.111429,0.025495,-0.000000,4.111429,0.007033,0.000000,
3.130000,3.584396,0.027253,-0.000000,3.584396,0.007033,0.000000,
3.140000,3.685934,0.025495,-0.000000,3.685934,0.007033,0.000000,
3.150000,3.908352,0.026374,-0.000000,3.908352,0.007033,0.000000,
3.160000,3.463516,0.025495,-0.000000,3.463516,0.004396,0.000000,
3.170000,3.990550,0.026374,-0.000000,3.990550,0.007912,0.000000,
3.180000,3.719780,0.026374,-0.000000,3.719780,0.007033,0.000000,
3.190000,3.502198,0.026374,-0.000000,3.502198,0.007033,0.000000,
3.200000,4.116264,0.026374,-0.000000,4.116264,0.005275,0.000000,
3.210000,3.565055,0.026374,-0.000000,3.565055,0.006154,0.000000,
3.220000,3.763297,0.025495,-0.000000,3.763297,0.007033,0.000000,
3.230000,3.855165,0.025495,-0.000000,3.855165,0.007033,0.000000,
3.240000,3.482857,0.025495,-0.000000,3.482857,0.006154,0.000000,
3.250000,4.024395,0.026374,-0.000000,4.024395,0.007033,0.000000,
3.260000,3.690769,0.027253,-0.000000,3.690769,0.006154,0.000000,
3.270000,3.516703,0.025495,-0.000000,3.516703,0.007033,0.000000,
3.280000,4.087253,0.026374,-0.000000,4.087253,0.005275,0.000000,
3.290000,3.555385,0.025495,-0.000000,3.555385,0.006154,0.000000,
3.300000,3.787473,0.026374,-0.000000,3.787473,0.006154,0.000000,
3.310000,3.869670,0.025495,-0.000000,3.869670,0.007033,0.000000,
3.320000,3.468352,0.026374,-0.000000,3.468352,0.007033,0.000000,
3.330000,4.053407,0.026374,-0.000000,4.053407,0.005275,0.000000,
3.340000,3.695605,0.026374,-0.000000,3.695605,0.006154,0.000000,
3.350000,3.536044,0.026374,-0.000000,3.536044,0.007033,0.000000,
3.360000,4.053407,0.026374,-0.000000,4.053407,0.007033,0.000000,
3.370000,3.536044,0.025495,-0.000000,3.536044,0.006154,0.000000,
3.380000,3.826154,0.025495,-0.000000,3.826154,0.007912,0.000000,
3.390000,3.811649,0.026374,-0.000000,3.811649,0.007912,0.000000,
3.400000,3.502198,0.025495,-0.000000,3.502198,0.005275,0.000000,
3.410000,4.063077,0.027253,-0.000000,4.063077,0.005275,0.000000,
3.420000,3.671429,0.025495,-0.000000,3.671429,0.007033,0.000000,
3.430000,3.550550,0.026374,-0.000000,3.550550,0.006154,0.000000,
3.440000,4.024395,0.026374,-0.000000,4.024395,0.007033,0.000000,
3.450000,3.511868,0.025495,-0.000000,3.511868,0.007912,0.000000,
3.460000,3.893846,0.025495,-0.000000,3.893846,0.007912,0.000000,
3.470000,3.811649,0.027253,-0.000000,3.811649,0.006154,0.000000,
3.480000,3.473187,0.026374,-0.000000,3.473187,0.006154,0.000000,
3.490000,4.058242,0.026374,-0.000000,4.058242,0.006154,0.000000,
3.500000,3.666593,0.025495,-0.000000,3.666593,0.007033,0.000000,
3.510000,3.569890,0.026374,-0.000000,3.569890,0.004396,0.000000,
3.520000,4.053407,0.025495,-0.000000,4.053407,0.007912,0.000000,
3.530000,3.507033,0.026374,-0.000000,3.507033,0.007033,0.000000,
3.540000,3.850330,0.027253,-0.000000,3.850330,0.004396,0.000000,
3.550000,3.816483,0.025495,-0.000000,3.816483,0.007033,0.000000,
3.560000,3.478022,0.026374,-0.000000,3.478022,0.005275,0.000000,
3.570000,4.077582,0.025495,-0.000000,4.077582,0.007912,0.000000,
3.580000,3.647253,0.025495,-0.000000,3.647253,0.007033,0.000000,
3.590000,3.598901,0.027253,-0.000000,3.598901,0.005275,0.000000,
3.600000,4.024395,0.027253,-0.000000,4.024395,0.006154,0.000000,
3.610000,3.507033,0.025495,-0.000000,3.507033,0.007033,0.000000,
3.620000,3.913187,0.026374,-0.000000,3.913187,0.005275,0.000000,
3.630000,3.787473,0.025495,-0.000000,3.787473,0.007033,0.000000,
3.640000,3.478022,0.025495,-0.000000,3.478022,0.007912,0.000000,
3.650000,4.111429,0.025495,-0.000000,4.111429,0.007033,0.000000,
3.660000,3.589231,0.025495,-0.000000,3.589231,0.007912,0.000000,
3.670000,3.618242,0.026374,-0.000000,3.618242,0.004396,0.000000,
3.680000,3.976044,0.025495,-0.000000,3.976044,0.007033,0.000000,
3.690000,3.487692,0.026374,-0.000000,3.487692,0.006154,0.000000,
3.700000,3.927692,0.027253,-0.000000,3.927692,0.007033,0.000000,
3.710000,3.777802,0.026374,-0.000000,3.777802,0.007033,0.000000,
3.720000,3.487692,0.026374,-0.000000,3.487692,0.006154,0.000000,
