α,θ,L Enc,R Enc,L_u,R_u,X,Y,θ,error,L_P,R_P,L_I,R_I,L_D,R_D
-3.128147,-3.062454,-16,-21,-0.516380,0.463339,-0.983159,0.000000,-6.299869,-0.037307,-0.671519,-0.671519,-0.000000,-0.000000,0.155139,0.155139
3.126716,-3.116239,-3,-106,-0.590456,0.529806,-1.037829,0.000000,-6.589902,-0.008984,-0.161718,-0.161718,-0.000000,-0.000000,-0.428739,-0.428739
3.091879,3.128330,-14,-17,0.922557,-0.827794,-1.090831,0.000000,-6.727219,0.025852,0.465344,0.465344,0.000000,0.000000,0.457213,0.457213
-3.069966,3.085935,-20,-23,-1.000000,0.897282,-1.098403,0.000000,-6.702835,-0.095488,-1.718782,-1.718782,-0.000000,-0.000000,-0.236149,-0.236149
3.045606,3.053502,5,15,1.000000,-0.897282,-1.156409,0.000000,-6.761868,0.072126,1.298271,1.298271,0.000000,0.000000,0.097060,0.097060
-3.012061,3.004944,-23,-27,-1.000000,0.897282,-1.160644,0.000000,-6.737484,-0.153392,-2.761063,-2.761063,-0.000000,-0.000000,-0.367978,-0.367978
3.109597,2.971499,-32,-37,1.000000,-0.897282,-1.246756,0.000000,-6.808067,0.008134,0.146419,0.146419,0.000000,0.000000,0.855982,0.855982
-3.125193,2.899171,4,8,-1.000000,0.897282,-1.227891,0.000000,-6.742617,-0.040260,-0.724687,-0.724687,-0.000000,-0.000000,-1.099364,-1.099364
-2.985551,2.855723,-31,-36,-1.000000,0.897282,-1.291800,0.000000,-6.801651,-0.179903,-3.238251,-3.238251,-0.000000,-0.000000,0.310378,0.310378
3.081771,2.796132,-25,-29,1.000000,-0.897282,-1.396135,0.000000,-6.879933,0.035961,0.647301,0.647301,0.000000,0.000000,0.800035,0.800035
-3.066794,2.711757,-12,-14,-1.000000,0.897282,-1.383687,0.000000,-6.829883,-0.098659,-1.775864,-1.775864,-0.000000,-0.000000,-1.247628,-1.247628
-2.940324,2.655791,-34,-40,-1.000000,0.897282,-1.457735,0.000000,-6.882500,-0.225129,-4.052330,-4.052330,-0.000000,-0.000000,0.169072,0.169072
-3.059534,2.600067,-48,-53,-1.000000,0.897282,-1.574134,0.000000,-6.955650,-0.105919,-1.906550,-1.906550,-0.000000,-0.000000,0.523961,0.523961
3.079044,2.547067,-5,2,0.612305,-0.549410,-1.673591,0.000000,-6.985167,0.038688,0.696383,0.696383,0.000000,0.000000,-0.084078,-0.084078
-2.945309,2.485906,-29,-36,-1.000000,0.897282,-1.720947,0.000000,-7.017250,-0.220145,-3.962602,-3.962602,-0.000000,-0.000000,-0.452049,-0.452049
-2.874324,2.423728,-46,-51,-1.000000,0.897282,-1.830029,0.000000,-7.089116,-0.291129,-5.240329,-5.240329,-0.000000,-0.000000,-0.132909,-0.132909
-2.732059,2.297004,-32,-46,-1.000000,0.897282,-1.956181,0.000000,-7.205899,-0.433395,-7.801109,-7.801109,-0.000000,-0.000000,-0.537515,-0.537515
-2.745527,2.084575,-52,-52,-1.000000,0.897282,-2.071296,0.000000,-7.289315,-0.419927,-7.558685,-7.558685,-0.000000,-0.000000,0.629804,0.629804
-2.871242,2.126726,-41,-18,-1.000000,0.897282,-2.181534,0.000000,-7.185365,-0.294212,-5.295815,-5.295815,-0.000000,-0.000000,0.386102,0.386102
-3.000837,2.157354,-13,-29,-1.000000,0.897282,-2.247369,0.000000,-7.243115,-0.164616,-2.963091,-2.963091,-0.000000,-0.000000,0.391932,0.391932
